"Based on LIS, as of January 31, 2024",,,,,,,,,,,,,, Kindergarten ,, Grade 1 ,, Grade 2 ,, Grade 3 ,, Grade 4 ,, Grade 5 ,, Grade 6 ,, SNEd (Non-Graded ES) ,, Grade 7 ,, Grade 8 ,, Grade 9 ,, Grade 10 ,, SNEd (Non-Graded JHS) ,, Grade 11 ABM ,, Grade 11 HUMSS ,, Grade 11 STEM ,, Grade 11 GAS ,, Grade 11 PBM ,, Grade 11 TVL ,, Grade 11 SPORTs ,, Grade 11 ARTs & DESIGN ,, Grade 12 ABM ,, Grade 12 HUMSS ,, Grade 12 STEM ,, Grade 12 GAS ,, Grade 12 PBM ,, Grade 12 TVL ,, Grade 12 SPORTs ,, Grade 12 ARTs & DESIGN ,
,,,,,,,,,,,,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD - ABM Male,G11 ACAD - ABM Female,G11 ACAD - HUMSS Male,G11 ACAD - HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 SPORTS Male,G11 SPORTS Female,G11 ARTS Male,G11 ARTS Female,G12 ACAD - ABM Male,G12 ACAD - ABM Female,G12 ACAD - HUMSS Male,G12 ACAD - HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 SPORTS Male,G12 SPORTS Female,G12 ARTS Male,G12 ARTS Female
Region II,Isabela,Jones East,103442,Daligan Elementary School,"Purok 1, Daligan, Jones, Isabela",ISABELA,JONES,4th District,DALIGAN,Public,DepED Managed,School with no Annexes,Purely ES,17,8,13,11,9,19,13,13,8,5,14,11,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103443,Dicamay I Elementary School,"Dicamay 1, Jones, Isabela",ISABELA,JONES,4th District,DICAMAY I,Public,DepED Managed,School with no Annexes,Purely ES,9,9,11,11,15,11,11,19,14,13,16,12,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103444,Dicamay II Elementary School,"Dicamay II, Jones, Isabela",ISABELA,JONES,4th District,DICAMAY II,Public,DepED Managed,School with no Annexes,Purely ES,15,9,9,9,9,7,12,9,7,9,13,15,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103445,Dumawing Elementary School,"Purok 1, Dumawing, Jones, Isabela",ISABELA,JONES,4th District,DUMAWING,Public,DepED Managed,School with no Annexes,Purely ES,9,9,6,10,10,13,12,9,5,8,14,13,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103446,Jones East Central School,"Purok 1, Dibuluan, Jones, Isabela",ISABELA,JONES,4th District,DIBULUAN,Public,DepED Managed,School with no Annexes,Purely ES,19,18,21,10,20,16,16,23,12,12,32,20,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103447,JT Sebastian Elementary School,"# 6, Diarao, Dicamay II, Jones, Isabela",ISABELA,JONES,4th District,DICAMAY II,Public,DepED Managed,School with no Annexes,Purely ES,4,5,3,5,1,2,2,3,4,2,4,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103448,Linomot Elementary School,"Purok 3, Linomot, Jones, Isabela",ISABELA,JONES,4th District,LINOMOT,Public,DepED Managed,School with no Annexes,Purely ES,12,13,13,14,12,16,13,20,17,9,14,19,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103449,Minuri Elementary School - Main,"Purok 5, Minuri, Jones, Isabela",ISABELA,JONES,4th District,MINURI,Public,DepED Managed,Mother school,Purely ES,28,21,16,22,25,18,16,19,23,21,23,26,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103450,Minuri Elementary School - Annex,"Purok 7, Dimas, Minuri, Jones, Isabela",ISABELA,JONES,4th District,MINURI,Public,DepED Managed,Annex or Extension school(s),Purely ES,3,2,6,3,3,3,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103451,Namnama Elementary School,"Zone 2, Namnama,  Jones,  Isabela",ISABELA,JONES,4th District,NAMNAMA,Public,DepED Managed,School with no Annexes,Purely ES,7,1,12,8,9,6,9,11,9,5,18,10,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103452,Papan Elementary School,"Papan Este, Jones, Isabela",ISABELA,JONES,4th District,PAPAN ESTE,Public,DepED Managed,School with no Annexes,Purely ES,3,1,4,6,7,9,6,12,6,3,6,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103453,Papan Weste Primary School,"Purok 3 Papan Weste Jones,Isabela",ISABELA,JONES,4th District,PAPAN WESTE,Public,DepED Managed,School with no Annexes,Purely ES,1,1,2,2,1,4,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103454,Sta. Isabel Elementary School,"Santa Isabel, Jones, Isabela",ISABELA,JONES,4th District,SANTA ISABEL,Public,DepED Managed,School with no Annexes,Purely ES,5,2,3,5,4,6,3,6,5,3,4,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103455,Sto. Domingo Elementary School - Main,"Purok 2, Santo Domingo, Jones, Isabela",ISABELA,JONES,4th District,SANTO DOMINGO,Public,DepED Managed,Mother school,Purely ES,9,6,8,5,8,4,8,11,6,6,7,10,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103456,Sto. Domingo ES - Annex (LSB),"Dimalungog, Santo Domingo, Jones, Isabela",ISABELA,JONES,4th District,SANTO DOMINGO,Public,DepED Managed,Annex or Extension school(s),Purely ES,2,1,1,5,3,1,9,2,0,2,2,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103457,Usol Elementary School,"Purok 2, Usol, Jones, Isabela",ISABELA,JONES,4th District,USOL,Public,DepED Managed,School with no Annexes,Purely ES,10,8,9,12,15,11,21,16,17,9,19,17,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103458,Villa Bello Elementary School,"Purok 3, Villa Bello, Jones, Isabela",ISABELA,JONES,4th District,VILLA BELLO,Public,DepED Managed,School with no Annexes,Purely ES,4,4,3,9,10,2,8,9,5,5,9,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,300524,Dibuluan National High School,"Purok 1, Dibuluan, Jones, Isabela",ISABELA,JONES,4th District,DIBULUAN,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,37,65,66,61,59,49,53,0,0,0,0,50,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,43,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,300600,Sgt. Prospero Bello High School - Main,"Purok 7, Napaliong, Jones, Isabela",ISABELA,JONES,4th District,NAPALIONG,Public,DepED Managed,Mother school,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,43,36,39,39,42,48,36,0,0,0,0,36,42,0,0,37,21,0,0,0,0,0,0,0,0,0,0,38,64,0,0,26,13,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,306122,Dicamay National High School,"Purok 5, Dicamay 1, Jones, Isabela",ISABELA,JONES,4th District,DICAMAY I,Public,DepED Managed,School with no Annexes,Purely JHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,32,21,28,27,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,306134,Sgt. Prospero G. Bello High School - Dumawing Annex,"Purok 6, Dumawing, Jones, Isabela",ISABELA,JONES,4th District,DUMAWING,Public,DepED Managed,Annex or Extension school(s),Purely JHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,7,8,11,12,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103459,Addalam Primary School,"Purok 1, Addalam, Jones, Isabela",ISABELA,JONES,4th District,ADDALAM,Public,DepED Managed,School with no Annexes,Purely ES,3,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103460,Arubub Primary School,"#5 Arubub, Jones, Isabela",ISABELA,JONES,4th District,ARUBUB,Public,DepED Managed,School with no Annexes,Purely ES,4,1,3,3,6,7,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103461,Barangcuag Primary School,"Purok 4, Barangcuag, Jones, Isabela",ISABELA,JONES,4th District,BARANGCUAG,Public,DepED Managed,School with no Annexes,Purely ES,1,3,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103462,Dalibubon Elementary School,"Purok 4, Dalibubon, Jones, Isabela",ISABELA,JONES,4th District,DALIBUBON,Public,DepED Managed,School with no Annexes,Purely ES,6,8,8,7,8,6,7,11,9,7,17,8,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103463,Diarao Elementary School,"Purok 2, Diarao, Jones, Isabela",ISABELA,JONES,4th District,DIARAO,Public,DepED Managed,School with no Annexes,Purely ES,17,11,11,7,12,5,14,13,13,9,16,15,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103464,Dipangit Primary School,"Dipangit, Jones, Isabela",ISABELA,JONES,4th District,DIPANGIT,Public,DepED Managed,School with no Annexes,Purely ES,1,5,6,2,0,3,2,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103465,Disimpit Elementary School,"Purok 6, Disimpit, Jones, Isabela",ISABELA,JONES,4th District,DISIMPIT,Public,DepED Managed,School with no Annexes,Purely ES,5,6,5,7,4,8,10,6,7,11,9,5,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103467,Divinan Elementary School,"Purok 6, Divinan, Jones, Isabela",ISABELA,JONES,4th District,DIVINAN,Public,DepED Managed,School with no Annexes,Purely ES,8,5,8,3,3,8,12,7,3,5,9,9,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103468,Fugu Elementary School,"Ancheta Street, Fugu, Jones, Isabela",ISABELA,JONES,4th District,FUGU,Public,DepED Managed,School with no Annexes,Purely ES,4,5,2,4,9,7,7,6,6,5,7,8,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103469,Jones West Central School Campus 1,"Barangay 01, Jones, Isabela",ISABELA,JONES,4th District,BARANGAY I (POB.),Public,DepED Managed,School with no Annexes,Purely ES,32,12,24,21,32,20,46,33,23,26,62,61,44,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103470,Jones West Central School-C2,"Zone 3, Brgy. 02, Jones, Isabela",ISABELA,JONES,4th District,BARANGAY II (POB.),Public,DepED Managed,School with no Annexes,Purely ES,20,29,25,15,25,24,22,28,23,24,43,47,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103471,Lacab Primary School,"Purok 4, Lacab, Jones, Isabela",ISABELA,JONES,4th District,LACAB,Public,DepED Managed,School with no Annexes,Purely ES,6,5,3,1,6,4,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103472,Linamanan Elementary School,"Purok 7, Linamanan, Jones, Isabela",ISABELA,JONES,4th District,LINAMANAN,Public,DepED Managed,School with no Annexes,Purely ES,8,6,10,4,5,6,16,7,9,7,11,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103473,Malannit Elementary School,"Purok 4, Malannit, Jones, Isabela",ISABELA,JONES,4th District,MALANNIT,Public,DepED Managed,School with no Annexes,Purely ES,12,5,12,9,8,11,10,15,10,6,15,18,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103474,Payac Elementary School,"Purok 3, Payac, Jones, Isabela",ISABELA,JONES,4th District,PAYAC,Public,DepED Managed,School with no Annexes,Purely ES,13,10,10,7,14,12,8,9,11,5,11,9,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103475,Pungpongan Primary School,"Pungpongan, Jones, Isabela",ISABELA,JONES,4th District,PONGPONGAN,Public,DepED Managed,School with no Annexes,Purely ES,6,1,3,0,0,3,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103476,San Antonio Elementary School,"San Antonio, Jones, Isabela",ISABELA,JONES,4th District,SAN ANTONIO,Public,DepED Managed,School with no Annexes,Purely ES,4,6,8,8,6,6,7,10,3,7,11,8,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103477,San Isidro Elementary School,"San Isidro, Jones, Isabela",ISABELA,JONES,4th District,SAN ISIDRO,Public,DepED Managed,Mother school,Purely ES,7,8,7,9,6,5,8,3,9,0,8,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103478,"San Isidro PS - Annex (Bliss), LSB","Bliss, San Isidro, Jones, Isabela",ISABELA,JONES,4th District,SAN ISIDRO,Public,DepED Managed,Annex or Extension school(s),Purely ES,3,1,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103479,San Jose Primary School,"Pastor Street, San Jose, Jones, Isabela",ISABELA,JONES,4th District,SAN JOSE,Public,DepED Managed,School with no Annexes,Purely ES,5,3,2,4,4,4,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103481,San Vicente Elementary School,"Purok 6, San Vicente, Jones, Isabela",ISABELA,JONES,4th District,SAN VICENTE,Public,DepED Managed,School with no Annexes,Purely ES,22,9,10,11,13,13,17,11,11,9,13,16,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103482,Tubar Elementary School,"San Roque, Jones, Isabela",ISABELA,JONES,4th District,SAN ROQUE,Public,DepED Managed,School with no Annexes,Purely ES,4,6,8,6,9,9,13,13,7,12,9,12,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,103483,Villa Saruccad Tribal Elementary School,"Sitio Saruccad, San Vicente, Jones, Isabela",ISABELA,JONES,4th District,SAN VICENTE,Public,DepED Managed,School with no Annexes,Purely ES,1,2,3,2,1,2,2,4,3,3,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,300498,Addalam Region High School,"Bello Street, San Roque, Jones, Isabela",ISABELA,JONES,4th District,SAN ROQUE,Public,DepED Managed,Mother school,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,15,11,14,10,13,13,0,0,0,0,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,300555,Jones Rural School,"Barangay 2, Jones, Isabela",ISABELA,JONES,4th District,BARANGAY II (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,141,184,164,187,173,193,209,0,0,11,36,113,95,51,59,0,0,0,0,92,72,0,0,0,0,13,30,91,90,36,57,0,0,0,0,68,57,0,0,0,0
Region II,Isabela,Jones West,306119,Addalam Region HS - Divinan Annex,"Ramos St. Purok 5, Divinan, Jones, Isabela",ISABELA,JONES,4th District,DIVINAN,Public,DepED Managed,Annex or Extension school(s),Purely JHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,15,5,13,9,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,306121,Jones West High School,Purok 4,ISABELA,JONES,4th District,MALANNIT,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,14,14,12,19,16,23,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,400443,"Infant Jesus De Providencia Learning and Development Center, Incorporated","#16 Vallejo St., Brgy. 01, Jones, Isabela",ISABELA,JONES,4th District,BARANGAY I (POB.),Private,Sectarian ,School with no Annexes,All Offering,4,5,0,4,5,3,3,3,5,2,9,5,5,1,0,0,8,10,8,8,11,9,14,15,0,0,1,6,10,8,5,4,0,0,0,0,0,0,0,0,0,0,3,7,15,5,9,10,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,400444,"La Salette of Jones, Inc.","Gallardo St., Brgy. 1, Jones, Isabela",ISABELA,JONES,4th District,BARANGAY I (POB.),Private,Sectarian ,School with no Annexes,All Offering,6,6,6,4,6,10,10,5,3,2,7,9,9,7,0,0,13,21,18,18,18,14,18,21,0,0,5,4,0,0,18,18,0,0,0,0,0,0,0,0,0,0,3,3,0,0,23,15,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones West,501315,San Sebastian Integrated School,"PUROK 3, SAN SEBASTIAN, JONES, ISABELA",ISABELA,JONES,4th District,SAN SEBASTIAN,Public,DepED Managed,School with no Annexes,ES and JHS,4,4,11,9,13,9,11,12,5,6,19,16,12,7,0,0,12,5,6,7,12,7,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Luna,103484,Bustamante Elementary School,"Bustamante, Luna, Isabela",ISABELA,LUNA,3rd District,BUSTAMANTE,Public,DepED Managed,School with no Annexes,Purely ES,5,15,22,14,16,17,20,15,16,15,19,13,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Luna,103485,Dadap Elementary School,"Dadap, Luna, Isabela",ISABELA,LUNA,3rd District,DADAP,Public,DepED Managed,School with no Annexes,Purely ES,15,6,6,9,9,10,16,9,7,13,14,8,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Luna,103486,Lalog Elementary School,"Lalog 1, Luna, Isabela",ISABELA,LUNA,3rd District,LALOG 1,Public,DepED Managed,School with no Annexes,Purely ES,13,13,10,10,11,13,14,14,19,12,23,23,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Luna,103487,Luna Central School,"Costudio St., Centro 1, Luna, Isabela",ISABELA,LUNA,3rd District,CENTRO 1 (POB.),Public,DepED Managed,School with no Annexes,Purely ES,36,34,41,41,40,43,43,34,34,29,50,58,35,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Luna,103488,Mambabanga Elementary School,"MAGSAYSAY ST. , Mambabanga, Luna, Isabela",ISABELA,LUNA,3rd District,MAMBABANGA,Public,DepED Managed,School with no Annexes,Purely ES,16,12,22,19,24,24,18,17,16,12,24,19,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Luna,103489,Harana Elementary School,"Soingco, Harana, Luna, Isabela",ISABELA,LUNA,3rd District,HARANA,Public,DepED Managed,School with no Annexes,Purely ES,20,17,16,19,14,27,17,16,15,10,22,7,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Luna,103490,Pulay-Union Kalinga Elementary School,"Medina, Pulay, Luna, Isabela",ISABELA,LUNA,3rd District,PULAY,Public,DepED Managed,School with no Annexes,Purely ES,15,6,13,9,11,6,10,12,17,12,14,24,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Luna,103491,Puroc-Concepcion ES,"Lampitoc Street, Puroc, Luna, Isabela",ISABELA,LUNA,3rd District,PUROC,Public,DepED Managed,School with no Annexes,Purely ES,19,15,9,19,21,19,15,22,13,7,24,23,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Luna,155507,Macugay Elementary School,"Barangay Road, Purok 1, Macugay, Luna, Isabela",ISABELA,LUNA,3rd District,MACUGAY,Public,DepED Managed,School with no Annexes,Purely ES,10,7,7,3,5,7,5,13,2,7,9,8,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
